osmid,tx,ty,x,y,time
165612153,-2.0534723399598094,2.3363336224855424,250591.7003033094,3813550.6669342252,3.1104989063712
165337884,-2.7103721430749497,3.3591321853778373,250417.88204533153,3813818.979194464,4.3162351873824
165450107,-2.129893631426987,3.8912133412932928,250636.06356437513,3813828.336866628,4.4359878436096
165498137,-2.3074476961352652,2.14367659570685,250422.32928235858,3813599.3800520874,3.1495498436096
165450102,-2.5617659971371873,4.244086504997931,250523.60226612978,3813933.593092532,4.957309278832
165492395,-2.6884289062736233,2.5014378355965343,250309.2843272452,3813705.542536054,3.6721711873824
165337887,-3.1823541294337145,3.8048120835226795,250302.92340186445,3813926.0370502193,4.9602391873824
165408581,-2.98387062408538,4.596159783405625,250410.41453923596,3814039.4476535176,5.479796406425599
165337890,-3.8400446889673234,4.394872492554573,250103.62324170631,3814112.770139395,5.8361671873824
165435808,-3.9158829927472723,4.126439655073605,250042.86254152245,3814085.3065368333,5.6887295453248
165337944,-11.862444377668119,3.2786039177224633,247945.61852068512,3813833.6796179446,12.307186122854203
165337947,-12.347367525796066,3.344810942073481,247867.90271963892,3813837.339732883,12.792390122854203
165581965,-11.453469672340384,2.833983597647941,247923.05029628062,3813747.58954432,11.798874122854203
165623609,-12.219980989243687,3.5587403904624093,247956.64630805727,3813877.453199058,12.727630122854203
165339336,14.669374523170898,-0.8962555233111141,254446.17564210042,3812754.790782214,14.696728304766374
165339339,14.200090009202281,-1.1211109226974765,254515.3805240487,3812689.8021613895,14.244277657025576
165428838,15.026425738305223,-0.8867023802083647,254540.4034870235,3812756.1902054376,15.05256495019599
165537254,14.121102054933882,-1.1783887241438749,254376.11143438972,3812686.117078842,14.170184304766375
165339342,14.109105911866365,-1.5114715616051855,254631.0928113403,3812581.5163518703,14.189834950195989
165455698,13.64865105687578,-1.3868904115007752,254447.52897835276,3812619.5709757456,13.718933657025575
165428793,13.557873801196694,-1.7459485094814526,254564.31395562016,3812513.931317731,13.669830950195989
165339350,9.065795232701513,0.6722602703692483,252726.23626249368,3813078.17544299,9.090686281705601
165339352,9.096972477602282,1.0153458826794357,252669.79156578032,3813132.3380466797,9.15346030306176
165573776,9.452003022833027,0.9464869033805077,252769.35383568177,3813124.4304084955,9.499273582854402
165451637,8.63958936285941,0.2872067050731482,252662.08820205217,3813010.0114621604,8.6443618648384
165339355,8.561811770493206,1.308505114469048,252610.18964676603,3813187.4286576286,8.66122430306176
165387707,8.615588839460447,0.6039078822739712,252606.14195492564,3813063.2065173467,8.636728303061759
165537691,8.674688097930682,1.5462308794743422,252652.2590670404,3813233.000508813,8.81141552357056
165451639,8.09261314210256,0.9043442177181981,252545.8884146618,3813118.7033820506,8.14298630306176
165339576,1.1523125580306304,-14.51553663644042,251365.84373662597,3809763.167020331,14.56120283751446
165502209,1.300102717267311,-14.014266806045052,251402.26737657195,3809831.5757510527,14.074442837514459
165500844,0.24893678536207278,-14.354090630045956,251162.9789301962,3810029.567032785,14.356249069261771
165339738,16.892512219231975,-0.7148533214049883,254703.89579033348,3812806.4946342437,16.90763095019599
165339868,16.317609432020028,-0.2933989424530361,254724.40255643276,3812893.5383103783,16.32024695019599
165428970,17.370397798483623,1.389136806691641,254740.25586410548,3813248.6302076555,17.42585495019599
165340886,-11.772862581678016,0.15158894025303074,247823.61666566215,3813000.831872504,11.773838480881306
165340889,-12.206205833776746,-0.03226639880335715,247826.37330214484,3812949.8019940285,12.206248480881307
165380103,-12.565997186705717,-0.17648645868147309,247660.35835448335,3812910.007770498,12.567236480881306
165380058,-11.149024356740567,0.5126960078718484,247893.61230255052,3813106.496205204,11.160806480881305
165341077,1.2540497071434151,9.154548168533127,251361.9078126089,3814781.469309643,9.24004290238848
566112630,-1.2738483421914455,7.456032356750133,250867.20570479974,3814392.383437597,7.564066902388479
165496123,0.9025389282351414,9.267913642592715,251245.99839692272,3814332.590330184,9.311756
165370666,7.586366308410481,10.511097914192915,252602.26163241803,3815023.0273171524,12.962875187516707
8859346556,7.157824307744073,10.619595782871889,252517.34737959426,3815043.2369624786,12.806649187516706
165426321,-6.002097073105924,-9.498857748088247,249877.6116022005,3811004.6662522876,11.23625684084352
165420727,-4.385053144458576,-9.004236663841263,250117.40405382586,3810915.8139977264,10.015236840843519
165367268,14.412677992055267,7.306715890980089,253531.29342770905,3814184.890450854,16.15900318751671
165367369,13.423262958632076,8.572339011185347,253602.55621741075,3814548.8847272256,15.926989187516709
165368124,13.000267369601346,8.069646463885132,253360.95151486938,3814354.363707962,15.30118118751671
165605718,15.132610524002391,6.703277859696096,253603.08276206575,3814061.878895644,16.55082582034624
165566498,12.482194880784286,8.02980275804479,253297.10613592825,3814364.049492362,14.841931187516709
165552529,13.312533268325897,9.331126783925875,253477.8991119346,3814616.683764921,16.257105187516707
165367910,-3.7363280308258235,-4.478785180283438,250208.24035093925,3811874.918884945,5.83263781192192
165367912,-4.121902792730487,-4.888324276791041,250102.5162855209,3811761.08386028,6.39420025239936
165453220,-4.162443452547033,-4.460685008472398,250151.07700377787,3811928.5170406587,6.1011184417664
165570379,-3.195980016061069,-4.2871391739940305,250264.30442936873,3811821.1286069364,5.34732181192192
165401352,-3.330401488907903,-4.035077101249238,250312.9789669169,3811990.1800802457,5.231961514608639
165453224,-4.693499052498369,-5.0317589437302885,250045.07097034118,3811814.468193821,6.88095425239936
165570381,-3.5780778775080013,-4.700375660017864,250159.9592851431,3811707.588991405,5.90729825239936
165368145,13.785117848350518,8.077053889304555,253496.35791904043,3814355.43649979,15.97711718751671
165368662,-12.544016898397931,6.876818742584605,247248.24918431882,3815076.7549869986,14.305348509059671
165537621,-12.23565748004086,6.559568893217316,247246.81411082923,3815030.7229999662,13.88305650905967
165368672,-12.985350553014367,7.8984136048020686,247421.10043903938,3815203.6104453243,15.198824509059671
165368764,10.330793260508,-3.3485217516299146,253752.65721078747,3812102.630794911,10.859921146697898
165594248,10.751866359916557,-3.621989762056145,253809.782864786,3812049.7455458795,11.345547146697898
293587577,9.51495934733169,-2.9316849349232452,253856.1457231343,3812113.036888918,9.956366201533097
165455686,10.757234921161775,-2.9239930200621327,254028.28426710455,3812165.8439061823,11.147548534562855
165368772,12.287846850486476,-2.1295629993400027,254070.53595788876,3812445.7863833583,12.471015146697898
165455688,11.42582809965666,-2.563001415887349,254133.29137293817,3812280.8036884065,11.709761911360294
